Date,User,Message
2022-01-18 11:05:20,"우기","우기님이 들어왔습니다."
2022-01-18 11:06:31,"우기","우기님이 나갔습니다."
2022-01-19 10:13:33,"아티","질문이 있는데 사이트 들어갔을때 인트로처럼 특정 화면 먼저 보여준다음 메인페이지 나타나게 하려면 어떤식으로 해야하는지 아시는 분 계신가요.. 검색하니까 자꾸 로딩만 떠서 ㅜㅜ"
2022-01-19 10:21:15,"30웹","인트로 화면 그냥 보여만 주고 바로 메인화면으로 가는건가요???"
2022-01-19 10:22:30,"30웹","인트로 ㅗ화면을 클릭을 이벤트를 발생시키면 메인화면으로 넘기는 경우가 있고 그게 아니라 시간이 기준으로 넘기는 것도 있어서,..."
2022-01-19 10:23:48,"아티","네네 좀 시선 잡는 용도처럼요! 클릭은 어떻게하면 될지 감이 잡히는데 시간은 모르겠어서 ㅠ 셋타임아웃 그걸로 하면 되나요,,?"
2022-01-19 10:24:50,"30웹","https://webisfree.com/2014-04-08/[javascript]-%EC%8B%9C%EA%B0%84-%EC%A7%80%EC%97%B0-%ED%95%A8%EC%88%98-%EC%9D%BC%EC%A0%95-%EC%8B%9C%EA%B0%84-%EB%92%A4-%EC%8B%A4%ED%96%89%EC%8B%9C%ED%82%A4%EA%B8%B0-settimeout()-%7B%7D"
2022-01-19 10:25:45,"30웹","3초를 설정하는 기준이 시간이 필요하실텐데.. 저는 세션에 설정한 후에 3초를 넣는방식을 사용합니다."
2022-01-19 10:27:26,"아티","아 인트로로 사용할 부분 먼저 떠있게 하고 보여줄 컨텐츠를 셋타임아웃 설정하라는 말씀이신거죠?"
2022-01-19 10:27:40,"30웹","인트로 화면 띄움 -->ajax로 자바에게 세션 설정 및 시간 설정 -->자바스크립트단에서 set타임 으로 스크립트 함수 실행"
2022-01-19 10:27:45,"30웹","저는 이렇게 할거 같아요"
2022-01-19 10:28:56,"아티","오우 생각보다 어렵네용.. 답변 감사합니다ㅎㅎㅎㅎ"
2022-01-19 10:28:57,"30웹","아니면 인증번호 유효시간 관련 예제를 보고것도 좋을거 같습니다. "
2022-01-19 10:29:22,"30웹","타이머 관련 예제를 사용하는거 같아서 좋을거 같네요"
2022-01-19 10:29:38,"아티","오 네네 참고해볼게요! 감사합니다!"
2022-01-19 10:29:41,"30웹","넵"
2022-01-19 13:48:47,"희표/시지","혹시 코테문제 같이 풀어보실분 계신가요"
2022-01-19 13:48:51,"희표/시지","https://programmers.co.kr/learn/courses/30/lessons/92343"
2022-01-19 13:49:21,"희표/시지","이거 로직잡기가 애매하네요"
2022-01-19 13:51:33,"30웹","저 한번 해보겠습니다.ㅎㅎ 로직공부하기 좋은거 같네요 ㅎㅎ"
2022-01-19 13:52:05,"희표/시지","혹시 푸셨으면 해설좀 같이 공유부탁드립니다"
2022-01-19 13:52:24,"30웹","넵 저도 부탁드립니다.ㅎㅎ "
2022-01-19 18:52:14,"zidol","신입 3일만에 런했네요..ㅠㅠ"
2022-01-19 18:52:46,"초롱초롱 튜브","대구인가요?"
2022-01-19 18:53:06,"희표/시지","뭐가 마음에 안드셨나요"
2022-01-19 18:53:11,"zidol","네..ㅠㅠ"
2022-01-19 18:53:57,"zidol","글쎄요 저도 잘모르겠네요..이런저런 말을 하지만 3일 출근하면서 단한명도 퇴근을 안하는걸 봐서 그런거 같은느낌이드네요...ㅋㅋ"
2022-01-19 18:56:51,"초롱초롱 튜브","개발자 특성상 야근을 하죠 ㅠ"
2022-01-19 18:57:04,"초롱초롱 튜브","프로젝트 기간에 투입되었나보네여"
2022-01-19 18:57:28,"초롱초롱 튜브","저도 취준생이지만 가스라이팅만 안 하면 회사 잘 다닐 듯해여"
2022-01-19 18:57:39,"초롱초롱 튜브","저는 사람이 문제라서"
2022-01-19 18:58:34,"코딩여우","ㅎ.. 저는 첫출근날에 출장가서 타지갔다가 밤 11시에 집에 돌아왔습니다 ㅋㅋ 그리고 일주일간 그짓을 했네요 사무실 데스크에는 일주일뒤에나 앉을 수가 있었던.."
2022-01-19 18:58:40,"코딩여우","욕보셨네요"
2022-01-19 18:59:00,"zidol","지금 다닌 회사 3년차인데..2년동안 연차한번못썼었네요;;"
2022-01-19 18:59:30,"zidol","사실 저도 이직 하려고 맘먹은 상태지만...ㅎㅎ;"
2022-01-19 19:00:32,"zidol","저랑 비슷한..전 한달간 타지 시청에 조사한답시고 델고 가더라구요 ㅋㅋ"
2022-01-19 21:13:41,"개발을 꿈꾸다","실례가 아니면
연봉은 어느정도인지 알수 있나요?"
2022-01-19 21:16:32,"노바","전 3500이욬ㅋ"
2022-01-19 21:16:47,"노바","근데 개발자를 왜 하려는지가 중요해요"
2022-01-19 21:17:08,"노바","연봉따질거먄 현장을 가는게 더 돈을 많이 받잖아요"
2022-01-19 21:31:03,"zidol","2900요 여름에 재계약하는데"
2022-01-19 21:31:49,"zidol","이직해서 올리는게 나을거 같아요.."
2022-01-19 21:53:46,"김남수","요거 줌같은거로 같이 보면 좋을ㄹ듯 한데요.. 주말에 시간 되시면.."
2022-01-20 00:19:46,"업텐션","업텐션님이 들어왔습니다."
2022-01-20 14:01:05,"코딩여우","일단 현재 위치에서 가능한 양을 다 가져온 다음 차례대로 늑대를 하나씩 방문하면됩니다. DFS방식으로요
1. 현재 가능한 양을 전부 가져온다
2. 남은 node를 후보노드에 넣는다 (남은 node는 늑대밖에 없다)
3. 후보 노드 중 하나를 선택한다
4. 1번으로 돌아간다
반복하면서 양이 최대일때를 반환하면 됩니다"
2022-01-20 14:03:40,"건배하는 프로도","건배하는 프로도님이 들어왔습니다."
2022-01-20 14:04:01,"건배하는 프로도","반가워요!"
2022-01-20 14:05:36,"리니","어서오세욤"
2022-01-20 14:12:18,"건배하는 프로도","잘부탁드려요!"
2022-01-20 15:13:26,"희표/시지","푸셔서 제출하셨나요?"
2022-01-20 15:13:38,"코딩여우","네"
2022-01-20 15:16:33,"희표/시지","카카오 해설보고 그대로 구현하면서 하나하나 로그찍어보면서 하는데 머리터지겠네요"
2022-01-20 15:16:43,"희표/시지","current: 0
node: 1, visitableNodes: [1, 8] test: 0
current: 1
node: 8, visitableNodes: [8, 0, 2, 4] test: 0
current: 8
node: 0, visitableNodes: [0, 2, 4, 0, 7, 9] test: 0
current: 0
node: 2, visitableNodes: [2, 4, 0, 7, 9, 1, 8] test: 0
current: 2
node: 4, visitableNodes: [4, 0, 7, 9, 1, 8, 1] test: 0
current: 4
node: 7, visitableNodes: [4, 0, 7, 9, 1, 8, 1] test: 2
current: 7
node: 9, visitableNodes: [4, 0, 9, 1, 8, 1, 8] test: 2
current: 9
node: 10, visitableNodes: [4, 0, 1, 8, 1, 8, 10, 11, 8] test: 6
current: 10
node: 11, visitableNodes: [4, 0, 1, 8, 1, 8, 11, 8, 9] test: 6
current: 11"
2022-01-20 15:16:51,"희표/시지","ㅋㅋ"
2022-01-20 15:17:22,"희표/시지","second: [1, 8], child: 1 [0, 2, 4, 8]
second: [0, 2, 4, 8], child: 2 [1, 0, 4, 8]
second: [1, 0, 4, 8], child: 4 [1, 3, 6, 0, 8]
second: [1, 3, 6, 0, 8], child: 3 [4, 1, 6, 0, 8]
second: [4, 1, 6, 0, 8], child: 6 [5, 4, 1, 0, 8]
second: [5, 4, 1, 0, 8], child: 5 [6, 4, 1, 0, 8]
second: [6, 4, 1, 0, 8], child: 8 [0, 7, 9, 6, 4, 1]
second: [0, 7, 9, 6, 4, 1], child: 7 [8, 0, 9, 6, 4, 1]
second: [8, 0, 9, 6, 4, 1], child: 9 [10, 11, 8, 0, 6, 4, 1]
second: [10, 11, 8, 0, 6, 4, 1], child: 10 [9, 11, 8, 0, 6, 4, 1]
second: [9, 11, 8, 0, 6, 4, 1], child: 11 [9, 8, 0, 6, 4, 1]"
2022-01-20 15:17:31,"희표/시지","머리 아프네요"
2022-01-21 15:05:11,"긍정승정","이번주 주말 모각코 하나용?"
2022-01-21 15:55:52,"희표/시지","누가 하나 나서서 모임하자고 하지 않으면 안할거 같습니다"
2022-01-21 15:56:05,"긍정승정","넵!"
2022-01-21 15:56:08,"긍정승정","내일 하실분 계신가용"
2022-01-21 20:32:35,"안뇽","궁금한게 있는데"
2022-01-21 20:32:48,"안뇽","서버랑 html 또는 pug랑 연동시키고"
2022-01-21 20:32:55,"안뇽","시켯을 대"
2022-01-21 20:33:07,"안뇽","웹팩 사용안하고 css적용할 수 있는 방법있나요??"
2022-01-21 20:33:20,"안뇽","뭐… h1(style=""color:red;"") home"
2022-01-21 20:33:25,"안뇽","d이런식으로말고"
2022-01-21 20:33:34,"안뇽","head 태그 안에서"
2022-01-21 20:33:36,"안뇽","style"
2022-01-21 20:33:48,"안뇽","주고 뭐.. h1{color:red} 이런식으루…"
2022-01-21 20:33:52,"안뇽","제가 해봤는데 안되길래요 ㅠㅠ"
2022-01-21 22:23:16,"라이언","안될 이유가없을것같은데..
브라우저 개발자도구에서 element탭에 그 css 잘 적용되어있는지 확인해보세요 문법틀리셨을 것 같아요"
2022-01-21 22:23:28,"라이언","여기도 일단 ; 빠져있구요"
2022-01-21 22:38:31,"안뇽","아 ; 이건 제가 휴대폰으로 치다보니깐 오타난건데 저거꺼지 다 했는데..인터넷 보고 해봤는데 아직답이 안나오네요 ㅠㅠ"
2022-01-21 22:39:23,"라이언","그 html파일 올려주시면 봐드릴게요!"
2022-01-21 22:40:31,"안뇽","아"
2022-01-21 22:40:38,"안뇽","Html 아니고 퍼그 코드입니다!"
2022-01-21 22:40:44,"안뇽","똑같은거간한데"
2022-01-21 22:40:51,"안뇽","그냥 닫아주는 태그난 없어진거에요!0"
2022-01-21 22:41:16,"안뇽","doctype html 
html(lnag=""ko"")
    head 
        title=title
        
    body 
        h1 Home Page
        block content"
2022-01-21 22:41:22,"안뇽","일단 이 부분이고"
2022-01-21 22:41:24,"안뇽","만약에여기서 제가"
2022-01-21 22:41:27,"안뇽","style 을 주나고하면"
2022-01-21 22:41:50,"안뇽","사진"
2022-01-21 22:41:57,"안뇽","이런식으로 주면 되는거 아닌가요ㅕ..?"
2022-01-21 22:42:54,"안뇽","사진"
2022-01-21 22:43:02,"라이언","아 넵 퍼그로 보내든 html로 보내든 최종적으로 웹브라우저에 html로 보여주잖아요?"
2022-01-21 22:43:04,"안뇽","그리고 페이지 보면 이런 에러가 뜨네요"
2022-01-21 22:43:09,"안뇽","네네"
2022-01-21 22:43:18,"안뇽","어쨋든 html 코드로 변환해주니깐"
2022-01-21 22:43:20,"라이언","그 웹브라우저에 뜬 html파일을 보내달라는 것 이었습니다!"
2022-01-21 22:43:20,"안뇽","달라지는건 전혀없어요"
2022-01-21 22:43:37,"라이언","거기에 적힌 스타일 문법이 틀렸을 가능성이 높아보여요"
2022-01-21 22:43:49,"안뇽","아퍼그에서 사용한"
2022-01-21 22:43:59,"안뇽","문법이라든지 그런게 틀렸을수있다는 말씀이신가요?"
2022-01-21 22:44:12,"긍정승정","웹브라우저에"
2022-01-21 22:44:13,"라이언","퍼그에서 스타일태그문법이틀렸을 수 있죠"
2022-01-21 22:44:16,"긍정승정","문법 말하시는거같은데욤"
2022-01-21 22:44:18,"라이언","어쨌든 브라우저에서"
2022-01-21 22:44:28,"라이언","개발자도구 -> 엘리먼트탭에"
2022-01-21 22:44:33,"긍정승정","두개다 올리셔서비교하시죵"
2022-01-21 22:44:39,"라이언","그 원하는 코드가 들어갔는지를 봐야"
2022-01-21 22:44:48,"라이언","어디가잘못됐는지 추측할 수있을것같아요"
2022-01-21 22:45:23,"안뇽","ㅋㅋㅋ저도 검사볼려고했지만"
2022-01-21 22:45:26,"안뇽","에러가 뜨니깐"
2022-01-21 22:45:33,"안뇽","h1 태그안에 속성이 들어갔는지를 볼수가없네여 ㅋㅋㅋ"
2022-01-21 22:45:49,"안뇽","사진"
2022-01-21 22:45:53,"안뇽","이런식으로 떠서요 ..^^;;"
2022-01-21 22:46:02,"긍정승정","오잉"
2022-01-21 22:46:30,"안뇽","Failed to load resource: the server responded with a status of 500 (Internal Server Error)"
2022-01-21 22:46:32,"안뇽","콘솔 부분보면"
2022-01-21 22:46:33,"라이언","저 에러 원인을 찾으면 되겠네요!"
2022-01-21 22:46:34,"안뇽","이런에러가떠요"
2022-01-21 22:46:41,"안뇽","리소스를 가져오는데 오류가 났다면 아래 경우의 수가 있지 않을까요.
 

 
1. 요청 url 과 리소스 매핑이 안되었다. (서버 설정)
 
2. 요청된 리소스를 가져오려는데 없다. (엉뚱한 곳에 올렸다.)
 
3. 1,2 다 잘 됐는데 권한이 없다."
2022-01-21 22:46:52,"안뇽","인터넷에 찾아봤는데..."
2022-01-21 22:46:53,"라이언","퍼그 스타일 태그 문법이 잘못됐나봐요"
2022-01-21 22:46:55,"안뇽","매핑이안된거같네요"
2022-01-21 22:47:03,"라이언","아뇨저건"
2022-01-21 22:47:17,"라이언","서버에서 퍼그를 html파일로 변환하다 에러난걸"
2022-01-21 22:47:38,"라이언","서버에서 에러처리안해서 500에러가 클라이언트한테 전달된거에요"
2022-01-21 22:48:08,"불나게 일하는 네오","프론트도 골치 아프군요..."
2022-01-21 22:48:14,"라이언","Url이 맞았으니까 저 퍼그를 html로 변환하려했겠죠"
2022-01-21 22:49:04,"라이언","https://stackoverflow.com/questions/38250336/how-can-i-add-a-style-tag-in-the-header-with-jade-pug"
2022-01-21 22:49:44,"라이언","퍼그에서 스타일 태그 추가할때 . 적어야하는 문법이있네요"
2022-01-21 22:51:09,"긍정승정","안 드 조 아,,"
2022-01-21 22:52:46,"라이언","style(type=""text/css"").
    h1 {
        color: red;
    }"
2022-01-21 22:52:56,"라이언","이렇게 한번 해보면 될 것 같아요"
2022-01-21 22:53:19,"안뇽","dk..."
2022-01-21 22:53:19,"안뇽","앗"
2022-01-21 22:53:26,"안뇽","사진"
2022-01-21 22:53:34,"안뇽","사진"
2022-01-21 22:53:37,"안뇽","ㅠㅠㅠㅠ"
2022-01-21 22:53:40,"안뇽","되네요"
2022-01-21 22:53:52,"안뇽","감사합니다 제가 찾아보는게 좀 부족했네요 ..^^;;"
2022-01-21 22:54:16,"안뇽","그럼 제가 궁금한게 있는데 일단 저럲식으로 하게되면"
2022-01-21 22:54:26,"안뇽","코드가 좀 길어지고 보기 싫을 수 있는데"
2022-01-21 22:54:42,"안뇽","그래서 웹팩을 사용해서 css랑 연동을 시켜주는거죠??"
2022-01-21 22:57:00,"라이언","html이랑 css연동하려고 웹팩을 쓰진 않아요"
2022-01-21 22:57:10,"라이언","지금은 2가지방법이있을 것 같은데"
2022-01-21 22:57:36,"라이언","1. style태그 부분은 다른 퍼그 파일로 작성해서 그 파일을 본래 파일에 import한다"
2022-01-21 22:58:03,"안뇽","dk"
2022-01-21 22:58:04,"안뇽","아 ㄴ네"
2022-01-21 22:58:08,"안뇽","방금 퍼그 공식사이트가서"
2022-01-21 22:58:09,"안뇽","차장보니깐"
2022-01-21 22:58:18,"안뇽","사진"
2022-01-21 22:58:23,"안뇽","이런식으로도 사용이 가능하네요!"
2022-01-21 22:58:34,"안뇽","아하...으음...."
2022-01-21 22:58:42,"안뇽","하…그럼 굳이 웹팩을 사용을 안해도 되긴하네요..."
2022-01-21 22:58:49,"안뇽","근데 사용하는 사람들은 왜 사용을하는지 ...으음..."
2022-01-21 22:58:52,"라이언","넵 지금 올려주신게 두번째방법입니다 대신 저렇게하면"
2022-01-21 22:58:56,"안뇽","네네"
2022-01-21 22:58:59,"불나게 일하는 네오","pug가 뭐죠 제이쿼리 같은건가요"
2022-01-21 22:59:05,"라이언","서버에서 저 css파일을 줄 수 있어야해요"
2022-01-21 22:59:17,"안뇽","아녀 템플릿엔진인데 html을 좀 더 유연하게 사용을 할 수 있게하는거에요!"
2022-01-21 22:59:21,"라이언","express쓰시면"
2022-01-21 22:59:28,"안뇽","express 사용중입니다."
2022-01-21 23:00:04,"라이언","https://m.blog.naver.com/azure0777/220469049820"
2022-01-21 23:00:13,"라이언","이거보시면서 static 폴더 설정해주시고"
2022-01-21 23:00:26,"라이언","그 안에 css파일 넣어둬야 제대로 가져갈 수 있습니다"
2022-01-21 23:03:55,"안뇽","사진"
2022-01-21 23:04:13,"안뇽","제가했는 코드랑 좀 다르던데 뭐 똑같은거 같아요"
2022-01-21 23:04:33,"안뇽","이런식으로 하면 된다는 말씀이신지"
2022-01-21 23:04:45,"불나게 일하는 네오","express 스프링이랑 비교해서 어떤가요"
2022-01-21 23:05:04,"안뇽","으음 전 아직 스프링을 해보진않았지만 전개인적으로 Node를 좋아합니다."
2022-01-21 23:05:06,"안뇽","express"
2022-01-21 23:05:11,"안뇽","괜찮아요 좋아요 저는..^^;;"
2022-01-21 23:05:19,"라이언","static 폴더 추가하는 코드를 추가하시면 돼요"
2022-01-21 23:05:30,"안뇽","근데"
2022-01-21 23:05:32,"라이언","저긴 안보이네요"
2022-01-21 23:05:36,"불나게 일하는 네오","저도 스프링 장고 밖에 안써봣는데"
2022-01-21 23:05:44,"안뇽","지금 제대로 안 넣어주었지만 그래도"
2022-01-21 23:05:46,"안뇽","실행은 잘 되는데"
2022-01-21 23:05:49,"불나게 일하는 네오","express 수요가 있나요?"
2022-01-21 23:05:54,"안뇽","넣어주면 뭐 달라지는게 있나요?"
2022-01-21 23:05:56,"불나게 일하는 네오","해외에선 1티어던데"
2022-01-21 23:05:59,"안뇽","음"
2022-01-21 23:06:05,"안뇽","지금 개발자분들한테 들은얘기인데"
2022-01-21 23:06:13,"안뇽","요즘 많이 사용을 하고 있는 추세라고 하더라구요"
2022-01-21 23:08:28,"라이언","되면 그대로 쓰시면 될 것 같아요 나중에 사진이나 정적파일 서버에서 보내줄 일 생기면 공부해보시고 추가하시면 될 것 같아요!"
2022-01-21 23:08:44,"안뇽","아"
2022-01-21 23:08:50,"불나게 일하는 네오","아 감사합니다"
2022-01-21 23:08:57,"안뇽","라이언님"
2022-01-21 23:09:06,"안뇽","그 제코드랑 방금 보내주신 코드랑 비교해보니깐"
2022-01-21 23:09:22,"안뇽","express.static….. __dirname,""public"""
2022-01-21 23:09:27,"안뇽","이렇게되어있었잖아요???"
2022-01-21 23:10:04,"안뇽","그 노드에서 npm install을 하면 pacakge에서 온걸 알 수 있어서"
2022-01-21 23:10:14,"안뇽","그 파일경로를 지정할 때 사용을 한다고한거같은데"
2022-01-21 23:10:24,"안뇽","app.set(""views"",process.cwd() + ""/src/views"");"
2022-01-21 23:10:28,"안뇽","그 부분이 이거랑 똑같은거같아요"
2022-01-21 23:11:47,"안뇽","http://daplus.net/node-js-process-cwd-와-__dirname의-차이점은-무엇입니까/"
2022-01-21 23:11:51,"라이언","저희회산 express 잘 쓰고 있는데 새 프로젝트는 스프링으로 해요 express 좋지만 개발자 수급이 어려워서.."
2022-01-21 23:12:01,"안뇽","여기에 확실한 설명을 해주었ㄴ요"
2022-01-21 23:12:11,"안뇽","그래서 제가 css파일을 만들어서 했을 때"
2022-01-21 23:12:22,"안뇽","그리고 pug파일이 잘 작동이 했는거네요"
2022-01-21 23:12:47,"불나게 일하는 네오","아 그런가요 스타트업에서는 장고 쓰는추세 아닌가요 요즘은"
2022-01-21 23:12:56,"안뇽","반환과리턴차이인거같은데"
2022-01-21 23:12:58,"안뇽","으음.."
2022-01-21 23:15:12,"라이언","이건 퍼그파일 가져올 경로 적어주는거고
static 파일 가져오려면 보내드린 걸 추가해야해요"
2022-01-21 23:15:48,"라이언","지금 css는 퍼그에서 잘해주니까 쓰시면 될 것 같은데 나중에 js파일이나 사진파일 서버에서 받아와야되면 저거 필요할거에요"
2022-01-21 23:16:48,"안뇽","아 그렇군요!!!… 라이언님 감사합니다 ㅎㅎㅎ"
2022-01-21 23:32:35,"불나게 일하는 네오","혹시 aws 잘하시는 분 계실까요"
2022-01-21 23:32:59,"불나게 일하는 네오","사진"
2022-01-21 23:33:11,"불나게 일하는 네오","갑자기 인스턴스 접속이 안되는데 왜이러지..."
2022-01-22 00:09:59,"건배하는 프로도","건배하는 프로도님이 나갔습니다."
2022-01-22 15:46:39,"긍정승정","안드로이드... 디펜던시 잘못건드렷다가"
2022-01-22 15:46:45,"긍정승정","피똥 싸고있어여... 전 글럿나봐여..."
2022-01-22 15:47:01,"긍정승정","gradle 지옥에 빠져버렷습니다..."
2022-01-22 15:50:06,"희표/시지","뭐 건드리셨나요"
2022-01-22 16:03:47,"긍정승정","오늘 좀 많이건드렷습니다,,,"
2022-01-22 16:05:41,"긍정승정","코틀린 코드를 인식을 못하네여 갑자기"
2022-01-22 16:08:13,"긍정승정","흐흐흫 전 깡통입니다"
2022-01-22 17:22:39,"긍정승정","흐흐 프로젝트 통째로 옮겨서 해결햇어여"
2022-01-22 18:17:37,"눈빛 애교 어피치","게더타운에서 얘기나하면서 공부하실분계신가요 ㅋㅋ"
2022-01-22 21:27:41,"모각","오저용"
2022-01-23 12:35:47,"S티엘","S티엘님이 들어왔습니다."
2022-01-23 12:37:05,"S티엘","안녕하세요"
2022-01-23 13:09:04,"라이언","안녕하세요!"
2022-01-23 13:11:03,"S티엘","반갑습니다"
2022-01-23 13:36:10,"긍정승정","안녕하세욤"
2022-01-25 06:52:14,"비옷입은 튜브","비옷입은 튜브님이 들어왔습니다."
2022-01-25 06:52:26,"비옷입은 튜브","비옷입은 튜브님이 나갔습니다."
2022-01-25 14:20:38,"업텐션","채팅방 관리자가 메시지를 가렸습니다."
2022-01-25 14:21:18,"희표/시지","업텐션님을 내보냈습니다."
2022-01-25 15:29:27,"희표/시지","혹시 대구말고 타지에서 일하고 계시는분 계시나요"
2022-01-25 15:38:09,"S티엘","대구는 아닌데 일은 안하고.있어요 ㅠㅠ"
2022-01-25 15:38:11,"안뇽","그 웹큐딩 항 때 자바 필수인가요????"
2022-01-25 15:38:15,"안뇽","코딩"
2022-01-25 15:38:27,"안뇽","만약이 노드로만 밀고 나간다고 했을 때 취업하기 힘들까요??"
2022-01-25 15:38:47,"희표/시지","어디에 거주중이신가요??"
2022-01-25 15:39:05,"희표/시지","저는 웹개발자는 아니지만 우리나라는 자바공화국이라는 말을 많이 합니다"
2022-01-25 15:40:10,"희표/시지","프로그래머스에서 사람들 문제 푼거 보면 자바가 압도적으로 많아요 근데 자바스크립트도 비슷하게 많습니다"
2022-01-25 15:40:43,"안뇽","아하"
2022-01-25 15:40:53,"안뇽","스타트업 쪽으로 갈렬고하는데"
2022-01-25 15:41:06,"안뇽","요즘 노드를 사용많이한하는데.."
2022-01-25 15:41:07,"초롱초롱 튜브","지방에 괜찮은 회사 있어요?"
2022-01-25 15:41:18,"안뇽","막 많이 있는거는 아닌거같아용"
2022-01-25 15:41:25,"희표/시지","스타트업은 노드 js많이 사용한다고 들었습니다"
2022-01-25 15:41:31,"초롱초롱 튜브","전공버리면 할 수 있는게 어떤 것이 있어요?"
2022-01-25 15:42:16,"초롱초롱 튜브","컴공나왔는데 마땅히 갈 곳이 없어서 계속 아이티준비하고 있는데 혼자하고 있으니 지치네요. 스터디구하기도 싫지 않고, 구해도 오래 유지가 안 되더라고요."
2022-01-25 15:43:23,"희표/시지","오래 유지 않되는것 공감합니다
근데 본인만 의지갖고 열심히하면 같이 열심히하는사람 만나게 될거 같네요"
2022-01-25 15:44:04,"초롱초롱 튜브","맞아요. 제 의지도 이상한 스터디원 만나서 회복이 안 되더라고요."
2022-01-25 15:44:23,"초롱초롱 튜브","제가 그렇게 멘탈이 강하지 않아서 ㅠㅠ 성격도 내향적이다보니"
2022-01-25 15:45:52,"극두","저는 구미에 있습니다 ㅎㅎ"
2022-01-25 15:45:55,"안뇽","으음"
2022-01-25 15:45:55,"S티엘","청도삽니다"
